,embedding,model
514,"[35.1923482472305, 31.607932509841465]",1
515,"[38.71206484574671, 23.843344747107505]",1
516,"[14.250500400942618, 0.1745075055784825]",1
517,"[11.798456763181834, 1.128352098636788]",1
518,"[-6.215020751548313, -9.702251601233526]",1
519,"[-3.0020228636628157, -9.95830415600541]",1
520,"[-3.5697473441426575, -8.075664212169448]",1
521,"[3.58225512248985, -17.617614879437916]",1
522,"[-17.30487574410484, 6.180103890019868]",1
523,"[2.345093159298664, -13.84904262291119]",1
524,"[-1.2608011115210593, -10.943720479264256]",1
525,"[-6.823177212069189, 12.292412576996657]",1
526,"[3.696763928042558, -17.891935629074936]",1
527,"[7.299055350032503, -5.602849629821868]",1
528,"[-16.893537859689072, -3.8800617787156932]",1
529,"[2.2755914952055227, -13.879229622522535]",1
530,"[0.1547112551938712, -11.499917269647357]",1
531,"[-0.2067887177479486, -10.51063136951767]",1
532,"[-0.059429996561434224, -10.22069687341762]",1
533,"[-0.1970711792230425, -10.195516811313077]",1
534,"[4.126354799758278, -13.91640470416594]",1
535,"[11.146281795965058, 1.2754848483195658]",1
536,"[-25.24840994789367, -26.666142096877817]",1
537,"[-11.600157295497755, 5.848317569042019]",1
538,"[17.56670188391819, 8.181512087556905]",1
539,"[29.85066106813366, 22.114096420375727]",1
540,"[10.295033101904206, -16.616133044327658]",1
541,"[5.642280586771846, 5.820437915900564]",1
542,"[-11.116712451126054, 6.605524499662655]",1
543,"[-13.43525091214183, 7.974963034181296]",1
544,"[-2.112607626455289, 41.920231825194016]",1
545,"[-2.2203575582373265, 41.974880347988304]",1
546,"[-2.2543496562077987, 42.00831561380135]",1
547,"[-2.2738496407750852, 43.324443839126474]",1
548,"[-2.6442692408996216, 45.32275470857682]",1
549,"[-4.1488598699087635, 45.74574927785844]",1
550,"[-2.3994090511398976, 45.08567267799863]",1
551,"[-4.622571738949216, 45.396370554009245]",1
552,"[-5.254496760050551, 44.21515739057644]",1
553,"[-6.31019618126348, 43.09354948659813]",1
554,"[-6.496279813362407, 43.52171077719477]",1
555,"[-10.011240730576326, 45.62376813457507]",1
556,"[-12.08034667833307, 44.52965576590956]",1
557,"[-10.421737383240654, 45.57112678564148]",1
558,"[-33.05750889292421, -0.36457363416833627]",1
559,"[-34.170272274849964, 3.1036171034159628]",1
560,"[-35.67521103792011, 2.4605757582590004]",1
561,"[-46.5088269093219, -1.6435210337795554]",1
562,"[-47.293553818718834, -1.4174244807371443]",1
563,"[-47.87423542499429, -1.209018826634848]",1
